bid_time_utc,token_id,bidder,bidder_url,bidder_wallet,bid,bid_eth,bid_usd,extended,block_number,tx_hash
2026-05-14 00:34:11,713,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01210 ETH ($26),0.0121,25.54,0,45964752,0x737a5b845e017caf124ca8d82d4682da3631cc666e21757b69d783bcdb24d161
2026-05-13 23:32:27,713,@farcy,https://farcaster.xyz/farcy,0x84cb3b93f9a918632f05528770b5cf926396b0f4,0.01100 ETH ($23),0.011,23.22,0,45962900,0x458ca7d5cacb8ab1b6847923fc6f9e5c5d94f1d87fbc12e9d2248096c3593e4f
2026-05-13 09:29:33,713,@0xael.eth,https://farcaster.xyz/0xael.eth,0x76d0e7a13248945ee9f808b4a472262b28778942,0.01000 ETH ($21),0.01,21.11,0,45937613,0xc1dd6868b96bc17dae5e4ddc3c9eceb7c3859753dad83e3bd4e978c33c06733d
2026-05-13 06:02:17,713,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.00877 ETH ($19),0.00877,18.51,0,45931395,0x29d5245c6785c0dfef341dcea91dc800ab83f30cdacb0fd0813a0af6f14ebece
2026-05-13 03:10:39,712,@oxygen2,https://farcaster.xyz/oxygen2,0x60fb37f0b204ef8df48793cbb5991a2422c9f205,0.01331 ETH ($28),0.01331,28.1,1,45926246,0xb06cc9aed62fc53c62f7911e593b87c6ded8ff025ea31f7b694dad64a811b84d
2026-05-13 03:09:57,712,@amnnn.base.eth,https://farcaster.xyz/amnnn.base.eth,0xf7b321a4a4359d794d1f06ae6674ac31d55ce2db,0.01210 ETH ($26),0.0121,25.54,1,45926225,0x6cba7acd7844ddf5a7aa86bb98c634ac3321284bc7766c5a60b313e00b5ba02c
2026-05-13 00:38:13,712,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01100 ETH ($23),0.011,23.22,0,45921673,0x76f6ac9d7dd477c24b590119c05ccd54a289a34253e97b29f2c157dc86d740d0
2026-05-12 10:56:57,712,@0xael.eth,https://farcaster.xyz/0xael.eth,0x76d0e7a13248945ee9f808b4a472262b28778942,0.01000 ETH ($21),0.01,21.11,0,45897035,0xdb29980ca08761978717fc2cbf5f615b81d647051fb3ef4f002f5a118230fb86
2026-05-12 03:57:07,712,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.00588 ETH ($12),0.005885,12.42,0,45884440,0xd2a5f0c17da8d62dbf5d5e5767478cb2fa62aae56de99872255d66688b8cee9b
2026-05-12 00:55:29,711,@zenonseeker,https://farcaster.xyz/zenonseeker,0xea89fa73f8e6283c37a72267290bc7829464893f,0.01210 ETH ($26),0.0121,25.54,0,45878991,0xd5b104912ab13553c835b1af258252fa12e4da006f17f3b313fe9e8caacea0e9
2026-05-11 11:11:07,711,@cctv1,https://farcaster.xyz/cctv1,0xbdd8f7ceae7fbfb25bd5615ad3c2608404f6bb72,0.01100 ETH ($23),0.011,23.22,0,45854260,0x7ffdf9d286cbdd457555b1832c118113a0141aeafdc1374f27f5bf7e54768d7e
2026-05-11 08:48:39,711,@0xael.eth,https://farcaster.xyz/0xael.eth,0x76d0e7a13248945ee9f808b4a472262b28778942,0.01000 ETH ($21),0.01,21.11,0,45849986,0x87e0eb0385224ff89c787671ae61fec8088fcdc98fbf9df23b8874c8b774f0e5
2026-05-11 03:33:19,711,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.00584 ETH ($12),0.00584,12.33,0,45840526,0x63342565a00a4d817df327bf8101abd51c672cf3cb4db99f53598c8c34167fb4
2026-05-11 02:16:35,710,@schlemiel,https://farcaster.xyz/schlemiel,0x1fb17e93ca83a21c517841f8a6fda27fa8eb11f0,0.01091 ETH ($23),0.01091,23.03,0,45838224,0x51aa59487da20d083e967af6dbcac38218cf5078d89a24e91464aa48603a1052
2026-05-11 02:01:53,710,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.00991 ETH ($21),0.00991,20.92,0,45837783,0x22e84fe3d038e680f3a6b29c7176f7985fbaa9cf3a60754bd0428e975e56dcb6
2026-05-11 01:54:51,710,@skunkape,https://farcaster.xyz/skunkape,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202,0.00900 ETH ($19),0.009,19.0,0,45837572,0xd903d21acacf75e7493fab085c517975a9f34443c2ad6414f3daeb031cb84b51
2026-05-11 01:44:23,710,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.00261 ETH ($6),0.00261,5.51,0,45837258,0x28dd8b36f4c253c24c54b7741f9cdf4535f5643bdb2e0d4386dc511191f08fb8
2026-05-10 21:46:41,710,@schlemiel,https://farcaster.xyz/schlemiel,0x1fb17e93ca83a21c517841f8a6fda27fa8eb11f0,0.00237 ETH ($5),0.00237,5.0,0,45830127,0x3dbe7f7ba9cf91b6b37af4e0455533adece3c4b80ceb1eeb0a3240cd8f4b7d89
2026-05-10 03:15:41,710,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.00215 ETH ($5),0.002148,4.53,0,45796797,0x0ef3f5902feb5ebf717a50e7c7b3bcd908e5d33a6b1627fd707e8b537354b3ad
2026-05-10 03:05:27,709,@vaibhavmule,https://farcaster.xyz/vaibhavmule,0xffe16898fc0af80ee9bcf29d2b54a0f20f9498ad,0.02430 ETH ($51),0.0243,51.3,1,45796490,0x905c63c7ff85b5943f343ad12acdca237ed15af3a175a5c88c716fd3a7ba4ddf
2026-05-10 03:05:01,709,@zenonseeker,https://farcaster.xyz/zenonseeker,0xea89fa73f8e6283c37a72267290bc7829464893f,0.02209 ETH ($47),0.02209,46.64,1,45796477,0x56b73938ea3e94969ce031114513a50a8c9892bb931e0eb36db39574d7440a70
2026-05-10 03:01:41,709,@vaibhavmule,https://farcaster.xyz/vaibhavmule,0xffe16898fc0af80ee9bcf29d2b54a0f20f9498ad,0.02008 ETH ($42),0.02008,42.39,1,45796377,0x3f3c47ae3027e049f13a23179732600a7cf874e77b40bd5b3c424714b856cd92
2026-05-10 02:57:39,709,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01825 ETH ($39),0.01825,38.53,1,45796256,0xb45fea1fad89c24a04bd6fad6573cf0333419c103074d1645bddd0ce5215995f
2026-05-10 02:56:55,709,@aliyaindah,https://farcaster.xyz/aliyaindah,0x182a4e4759e9f841682dc7d89b5cccd6ccb6a82d,0.01659 ETH ($35),0.01659,35.02,1,45796234,0x88b0988ec1a7171a59c64b59a083fa36af41ee6aa01538fe5e19a4e11dc7f82d
